aaron, noraa 
ababa, ababa 
ada, ada 
adlai, ialda 
adrienne, enneirda 
agnetha, ahtenga 
ahmet, temha 
al, la 
alain, niala 
alasdair, riadsala 
albert, trebla 
alejandro, ordnajela 
alexa, axela 
alexia, aixela 
alf, fla 
alice, ecila 
allan, nalla 
alvin, nivla 
amanda, adnama 
amedeo, oedema 
amigo, ogima 
amos, soma 
ana, ana 
anastasia, aisatsana 
anatoly, ylotana 
andre, erdna 
andreas, saerdna 
andries, seirdna 
angela, alegna 
angus, sugna 
ann, nna 
anna, anna 
anne, enna 
anthea, aehtna 
anton, notna 
antonio, oinotna 
anya, ayna 
archibald, dlabihcra 
ariel, leira 
arne, enra 
art, tra 
athel, lehta 
aubrey, yerbua 
augustus, sutsugua 
axel, lexa 
barbra, arbrab 
barrett, tterrab 
barry, yrrab 
barton, notrab 
beckie, eikceb 
behdad, dadheb 
ben, neb 
benny, ynneb 
bernard, dranreb 
bert, treb 
beth, hteb 
betsy, ysteb 
beverly, ylreveb 
bill, llib 
billy, yllib 
bjorne, enrojb 
blair, rialb 
blayne, enyalb 
bob, bob 
bobby, ybbob 
boob, boob 
boyce, ecyob 
brad, darb 
bradley, yeldarb 
brandon, nodnarb 
brenda, adnerb 
brender, rednerb 
bret, terb 
brian, nairb 
briggs, sggirb 
bronwyn, nywnorb 
bruce, ecurb 
bryan, nayrb 
bryony, ynoyrb 
buck, kcub 
bud, dub 
byron, noryb 
caleb, belac 
candida, adidnac 
carisa, asirac 
carlo, olrac 
carol, lorac 
caroline, enilorac 
carsten, netsrac 
cary, yrac 
casey, yesac 
cassandra, ardnassac 
cathrin, nirhtac 
cathy, yhtac 
cdc, cdc 
celeste, etselec 
charity, ytirahc 
charlene, enelrahc 
charley, yelrahc 
chastity, ytitsahc 
chet, tehc 
chris, sirhc 
christie, eitsirhc 
christofer, refotsirhc 
christopher, rehpotsirhc 
cinderella, allerednic 
cindy, ydnic 
claire, erialc 
clare, eralc 
clarissa, assiralc 
claude, edualc 
claudio, oidualc 
clay, yalc 
clem, melc 
clifford, droffilc 
clyde, edylc 
cole, eloc 
colin, niloc 
conan, nanoc 
conrad, darnoc 
cory, yroc 
craig, giarc 
cristi, itsirc 
cristopher, rehpotsirc 
curtis, sitruc 
cyrus, suryc 
dale, elad 
damon, nomad 
dan, nad 
dani, inad 
daniele, eleinad 
danielle, elleinad 
danny, ynnad 
daren, nerad 
darlene, enelrad 
darren, nerrad 
daryl, lyrad 
david, divad 
dawn, nwad 
deadly, yldaed 
deanna, annaed 
debbie, eibbed 
deborah, harobed 
deirdre, erdried 
delbert, trebled 
denise, esined 
derek, kered 
dewey, yewed 
diane, enaid 
dickon, nokcid 
dieter, reteid 
dimitry, yrtimid 
dipak, kapid 
dod, dod 
dominick, kcinimod 
don, nod 
donald, dlanod 
